question, answer
제 이름은 프랑크 해리스이고 이곳 KCU 사에서 사무 관리 수습직원으로 근무하고 있습니다.,My name is Frank Harris and I'm an office management trainee here at KCU.
저는 뉴욕 지사에서 근무하는 동안 매우 귀중한 경험을 많이 쌓게 되었습니다.,I gained a lot of valuable experience while working at New York branch.
보수는 경력에 따라 협상 가능합니다.,The remuneration will be negotiable depending on experience.
저는 전자 분야에서 10년 이상의 경력을 보유하고 있습니다.,I have more than ten years' experience in the field of electronics.
영어와 한국어 이해가 모두 가능한 새로운 컨설턴트를 고용하는 게 좋을까요?,Should we hire a new consultant who can understand both English and Korean?
생산직 근로자들은 안전 수칙을 엄격히 준수해야 합니다.,Manufacturing workers should comply with the safety rules strictly.
죄송하지만 귀하를 본 직책에 채용하는 것이 불가능함을 알려드립니다.,I am sorry to inform you that we are unable to offer you the position.
저희 회사에서는 중국 소프트웨어 사업 개발에 필요한 활기차고 열정적인 인재를 구하고 있습니다.,Our company seeks an energetic and committed person to develop a software business in China.
해결 방안은 바로 중간 관리자들을 없애 우리의 의사 결정 과정을 신속하게 만드는 것입니다.,The solution is to get rid of the middle managers in order to streamline our decision-making process.
늘어나는 직원 수를 수용하고자 저희는 서울에 있는 좀 더 넓은 시설로 사무실을 이전했습니다.,"To accommodate an increasing staff, we have moved our office to a larger facility in Seoul."
9월 9일 토요일 헤럴드 트리뷴지에 공고하신 IR 매니저 직급에 지원하려고 합니다.,"I am applying for the position of IR manager advertised in the Herald Tribune on Saturday, September 9."
"한국 소재 IT 대기업에서 IR 팀장으로 5년 넘게 근무한 경험을 바탕으로, 저는 직급에 걸맞는 가치 있는 통찰력, 경험 및 기술을 적용 할 수 있다고 자부합니다.","With more than five years' experience as an IR team leader for a major IT firm in Korea, I am confident that I can bring valuable insight, experience and skills to the position."
"자격을 갖춘 수많은 지원자들을 검토하여 결정을 내리기란 쉽지 않았으나, 면접을 진행하는 동안 보여주신 귀하의 폭녋은 업무 경험과 열정을 통해 저희는 귀하가 적합한 결론을 내렸습니다.","With so many qualified applicants being considered, the decision was difficult, but your extensive work experience and enthusiasm during the interview led us to decide that you are the right candidate."
모든 사무보조 직원들은 능숙한 영문 작성 능력을 보유하고 있어야 합니다.,Every office assistant should be able to write good English.
"이메일이나 비즈니스 서신, 짧은 신문 공고 및 온라인 광고 등 무엇을 쓰던지간에 읽는 사람이 이해 가능한 글을 작성할 수 있어야만 합니다.","Whether it's an email or a business letter, a short newspaper announcement or an online advertisement, whatever you write, you must produce texts which any reader can understand."
저는 지난주 홍콩 지사로 전근을 가게 된 미스터 김의 후임입니다.,"I'm replacing Mr.Kim, who has transferred to the Hong Kong office last week."
징계 조치의 원인은 대부분 과도한 결근 및 게으른 태도라고 볼 수 있습니다.,Excessive absenteeism or truant behavior is generally a cause for disciplinary action.
저희는 새로운 근무 평가제를 도입하여 직원의 업무 효율을 높일 계획입니다.,We plan to improve employee efficiency through the introduction of a new job evaluation system.
"저는 W 호텔의 안내 데스크에서 시간제로 근무한 경험이 있으며, 고객 서비스에 있어 상당한 경력을 보유하고 있습니다.",I used to work part-time at the front desk of W Hotel and have considerable experience in customer service.
유감스럽게도 지원하신 직책은 이미 채용이 완료된 상태입니다.,"Unfortunately, the position for which you have applied has already been filled."
여러분께 당사의 신제품을 소개해 드리게 되어 영광입니다.,I feel honored to introduce our brand new product to you.
나는 상장 법인에서 일합니다.,I work for a publicly traded coperation.
이것은 미국 최초의 이런 유형의 규정이다.,This is the first regulation of its kind in the United States.
그 강연에는 무려 200명이나 되는 사람들이 와 있었다.,There were as many as two hundreds people at the lecture.
자그마치 500명이 홍수로 목숨을 잃었다.,As many as five hundreds people lost their lives by the flood.
"2008년에는 고교 졸업생의 83.4%가 대학에 들어갔는데, 이것은 세계에서 가장 높은 수준이다.","In 2008, as many as 83.4 percent of high school graduates were admitted to college, one of the highest in the world."
저희 제품이 경쟁사 제품과 어떻게 다른지 설명해 드리도록 하겠습니다.,I'd like to explain how our product is different from our competitor's.
저희 회사의 주력 상품은 반도체 핵심 부품입니다.,The staple product of our company is the core parts of semiconductors.
저희 신제품은 국내 시장에서 높은 평가를 받고 있습니다.,Our new products are held in high regard in the domestic market.
저희 회사는 품질 관리 최우수 업체로 선정되었습니다.,We were designated as the best company in terms of quality management.
저희는 해외 경쟁사들에 맞먹는 제품들을 생산하고 있습니다.,We turn out goods comparable to those of foreign competitors.
저희는 전 세계에 걸쳐 있는 12개에 이르는 센터 및 일본 내 5개 합작 사업을 보유하고 있습니다.,We have as many as twelve centers around the world and five joint ventures in Japan.
당사의 제품이 타사와 차별화되는 점은 바로 친환경적인 디자인입니다.,What makes our product distinguishable from others is its eco-friendly design concept.
저희 제품은 나노 기술을 이용한 반도체 업계 최초의 제품입니다.,Our product is the first of its kind in the semiconductor industry that uses nanotechnology.
저희는 현재 남미의 많은 국가들과 다양한 합작 사업을 추진 중입니다.,We are currently developing several joint ventures with many Latin American partners.
저희 회사의 신제품을 소개할 기회를 가지게 되어 영광입니다. ,I'm honored to have the opportunity to introduce our new product.
저희는 금년 기준 7개국으로 저희 제품을 수출하고 있습니다.,We export our products to seven nations as of this year.
저희가 제공해 드릴 수 있는 차별화된 이점은 고객 서비스 제공시 당사의 다양한 기술을 접목할 수 있는 검증된 능력입니다.,A distinctive advantage we can provide is our proven ability to integrate our diverse technology with clients' service offerings.
"당사는 한국에 공장 3개를 보유한, 한국 기반 사무용품 제조 공개 법인입니다.","We are a publicly-traded office supplies manufacturing company based in Korea, with three factories in Korea."
당사는 다국적 기업을 위한 교육 솔루션 개발을 전문으로 하고 있습니다.,We specialize in developing training solutions for multinational corporations.
"저희 회사의 매출은 수년간 꾸준히 증가했고, 수출 물량은 점진적으로 증가해 왔습니다.","Our sales have steadily increased over the years, and our export figures have expanded gradually."
저희는 서울에 위치한 다국적 기업으로 해외 사업 파트너를 찾고 있습니다.,We are a multinational firm located in Seoul and are looking for a business partner overseas.
본 공장은 환경 친화적인 공장 중 국내 최고라 할 수 있습니다.,This plant is the nation's best in terms of envrionment-friendly plants.
본 공장은 일일 생산량 측면에서 볼 때 세계 최고 수준이라고 볼 수 있습니다.,This plant is the world's largest in terms of daily manufacturing amount.
저희 회사의 주력 상품은 가전제품입니다.,The main product of our company is electrical home appliances.
"저희 회사의 총수익은 100만달러 이상이며, 약 25만 명가량의 직원을 보유하고 있습니다.","Our company has a gross profit of over $1 million, and we have approximately a quarter of a million employes."
약속은 10월 10일 화요일 오전 11시로 잡혀 있습니다.,"The appointment is scheduled for Tuesday, October 10th, at 11 a.m."
죄송하게도 9시 약속을 지키지 못하게 될 것 같습니다.,I'm afraid I'm not going to be able to keep the appointment for nine.
저희 측에서 항공편과 숙소를 마련해 드리도록 하겠습니다.,We will be pleased to organize your flight and accommodation.
